Open,High,Low,Close
39.69,41.22,38.79,40.91
41.22,41.9,40.77,40.97
40.93,41.73,40.85,41.53
42.88,43.57,42.8,43.21
43.1,43.66,42.82,43.42
42.96,43.34,42.34,42.98
42.19,42.31,41.72,41.87
41.92,41.99,40.76,40.89
41,41.08,39.62,39.9
39.09,40.39,38.96,40.11
35.01,36.16,34.74,35.18
35.82,35.84,34.24,34.33
34.44,34.66,33.21,33.74
34.22,34.4,33.98,34.17
34.55,35.2,34.51,34.87
35.43,35.48,34.38,34.49
34.94,35.25,34.49,35.17
35.26,35.27,34.66,35.09
35.06,35.23,34.88,35.05
35.2,35.2,34.31,34.38
34.45,35,34.35,35
35.01,35.1,34.1,34.25
34,34.05,33.26,33.54
33.9,33.95,32.78,32.92
33.01,33.1,32.32,33.02
33.24,33.4,32.51,33
33.01,33.36,32.4,32.5
32.58,32.6,32.1,32.51
32.21,32.44,31.7,32.04
32.14,32.83,32.05,32.72
32.62,33.33,32.55,33.02
33.3,33.4,32.6,32.75
32.88,33.14,32.71,32.76
32.9,33.07,32.38,32.39
32.49,33.34,32.4,33.16
33.01,33.66,32.88,33.15
33.2,33.34,32.92,33.01
33.11,33.21,32.57,32.74
32.63,32.98,31.34,32.06
32.21,32.42,31.72,32.18
32.01,32.11,31.58,31.7
31.7,32.07,31.38,31.45
31.53,31.94,31.45,31.57
31.42,32.2,31.31,31.43
31.31,31.55,30.82,30.99
31.05,31.32,30.25,30.28
30.4,31.1,29.75,30.58
30.72,30.97,30.12,30.15
30.1,31,30.1,30.99
31.25,31.28,30.47,30.53
30.77,30.88,30.1,30.13
30.34,30.36,29.83,30.07
30.38,30.93,30.2,30.44
30.42,30.78,30.02,30.11
30.33,30.91,30.31,30.75
31.52,31.95,31.48,31.83
32.28,32.31,31.53,31.77
31.84,32.08,31.3,31.45
31.45,32.5,31.41,32.39
32.44,32.91,32.14,32.56
32.75,32.83,32.09,32.42
32.45,32.63,32.01,32.26
32.41,32.53,31.79,31.89
31.69,32.25,31.66,32.1
32.3,32.5,31.96,32.11
32.12,33.14,32.11,32.79
32.85,32.97,32.21,32.27
32.28,32.63,32.12,32.55
32.45,32.6,31.15,31.39
31.44,31.5,30.89,31.1
31.14,31.4,30.85,31.13
31.16,31.79,30.66,30.97
31.17,31.38,30.53,31.3
33.47,33.98,32.76,33.54
33.48,33.7,32.93,33.37
33.36,34.09,32.7,32.89
33.01,33.45,32.9,33.01
32.99,33.06,31.88,31.99
32.3,33.09,32.1,33
32.79,33.5,32.4,33.2
32.88,33.45,32.78,32.78
32.99,33.1,31.86,32.08
32.2,32.91,31.72,31.85
32.4,33,31.75,32.17
32.4,32.56,32.08,32.19
32.63,32.75,32.22,32.66
33.09,33.43,32.63,32.87
32.68,34,32.35,32.49
32.48,32.56,32,32.09
31.96,32.17,30.87,30.99
30.71,31.18,30.38,30.81
30.85,31.25,30.6,31.03
31.1,31.22,30.63,30.97
30.61,31.26,30.04,30.11
30.1,30.36,28.93,29
29.05,29.75,28.6,29.53
30.42,30.98,29.89,30.46
31.04,31.63,30.76,30.76
30.95,32.02,30.71,31.79
32.94,33.5,32.5,32.92
32.86,33.02,32.35,33.02
32.73,32.89,31.79,32
32.19,32.32,31.11,31.59
31.83,32,31.49,31.99
31.77,32.19,31.3,31.52
31.19,31.43,30.79,30.82
30.83,30.97,30.35,30.7
30.8,31.25,30.36,30.54
30.43,30.99,29.83,30.45
30.7,30.8,30.23,30.37
30.36,30.65,29.66,29.78
29.77,30.2,29.51,29.65
29.81,30,29.25,29.62
29.98,30.96,29.72,30.79
30.7,30.86,30.15,30.36
30.51,30.75,30.06,30.35
30.42,30.65,30.1,30.6
30.77,31.54,30.65,31.06
30.85,31.16,30.44,30.68
31.08,31.76,30.82,31.37
31.45,31.7,31.16,31.55
31.85,32.22,31.32,31.51
31.75,32.17,31.7,31.92
32.26,33,32.2,32.97
33.01,33.12,32.54,33
32.9,33.44,32.9,33.3
32.85,32.99,32.33,32.47
32.77,33.22,32.7,33.11
32.94,33.05,32.37,32.5
32.91,33.14,32.73,32.85
32.79,33.35,32.32,33.17
33.03,33.74,32.99,33.38
32.85,33.16,32.07,32.23
32.34,32.48,31.85,32.08
31.98,32.4,31.69,31.84
32.08,32.26,31.25,32.24
26.41,26.7,25.04,25.2
25.55,26.21,24.91,25.27
24.99,26.06,24.91,25.89
26.24,27.23,25.89,26.94
26.75,27.19,26.57,26.95
26.78,27.51,26.57,27.08
27.35,27.5,26.64,26.7
26.9,27.5,26.33,27.47
27.46,27.55,26.99,27.14
27.06,27.12,26.74,26.94
27.01,27.1,26.45,26.63
26.5,27.05,26.4,26.9
27.2,27.58,26.83,26.99
26.92,27.11,26.58,27.08
26.95,27.7,26.63,27.44
27.75,27.85,27,27.22
26.95,27.8,26.85,27.49
27.53,27.72,27.4,27.5
27.71,27.8,27,27.26
27.58,28.2,27.48,28.17
28.35,28.46,27.97,28.39
28.38,29.32,28.34,28.91
28.9,29.97,28.77,29.78
29.22,29.52,28.83,28.9
28.84,29.65,28.8,29.26
29.34,29.47,28.68,28.7
28.75,29.13,28.7,28.99
28.95,29.28,28.74,28.77
28.75,29.25,28.7,28.91
28.86,29.01,28.51,28.96
29,29.14,28.71,29.02
28.98,29.02,28.59,28.83
28.91,29.53,28.91,29.49
29.45,29.48,28.95,29.07
28.94,29.01,28.49,28.5
28.4,28.51,27.82,27.86
28.04,28.32,27.97,28.14
28.05,28.73,27.67,28.61
28.55,29.22,28.46,29.09
29.06,29.37,28.8,29.17
29.1,29.24,28.89,29.03
29.3,29.57,29.22,29.32
29.37,29.39,28.58,29
29.09,29.13,25.1,25.75
26.04,26.09,25.38,25.64
25.53,25.95,25.21,25.34
25.34,25.69,25.18,25.52
25.64,25.87,25.2,25.29
25.44,25.48,24.81,25.05
25,25.01,24.6,24.65
24.87,25.5,24.84,25.33
25.5,25.59,25.24,25.28
25.45,25.46,24.75,24.88
24.8,25,24.7,24.84
24.89,25.26,24.74,25.21
25.16,25.25,24.88,25.18
25.09,25.5,25.01,25.47
25.45,25.72,25,25.03
24.94,25.03,24.32,24.47
24.29,24.64,23.8,24.24
24.32,24.38,24.1,24.12
23.9,24.5,23.57,24.42
24.34,24.52,23.75,24.18
23.74,24.35,23.68,24.15
24.57,24.75,22.88,22.99
23.02,23.59,23,23.14
23.22,23.27,22.65,23.21
23.14,23.5,23.1,23.37
23.34,23.64,23.15,23.53
23.73,24.64,23.69,24.49
24.7,25.33,24.36,25.28
25.23,25.6,24.9,25.34
25.87,26.4,25.66,25.95
26.44,26.7,26.1,26.34
26.5,26.62,25.82,25.99
25.94,26.6,25.77,26.53
26.62,26.7,26.04,26.18
26.34,26.7,26.1,26.59
26.68,27.15,26.58,26.61
26.36,27.25,26.31,26.9
27.18,27.65,26.96,27.45
27.4,27.5,27.03,27.39
27.17,27.62,27.15,27.4
27.4,27.5,27.11,27.24
27.18,27.5,27.03,27.15
27.31,27.33,26.2,26.64
26.68,27.05,26.63,26.91
26.96,27.04,26.63,26.72
26.5,27.34,26.5,27.14
27.51,28.56,27.29,28.49
28.22,28.49,27.7,28.03
27.5,28.5,27.17,27.27
27.02,27.24,26.85,27
27.4,27.4,26.71,27.04
27,27.15,26.73,27.01
27,27.25,26,26.49
26.49,27.3,26.49,26.89
26.86,27.61,26.86,27.43
27.25,27.45,26.6,26.86
26.95,27.16,26.6,26.63
26.65,26.78,26.27,26.34
26.37,26.7,26.12,26.49
26.63,27.38,26.6,26.75
27.04,27.23,26.51,26.6
26.63,26.97,26.5,26.87
27,27.22,26.76,26.9
26.89,26.97,26.07,26.3
26.05,26.5,25.91,26.41
26.24,26.31,25.54,25.59
25.71,25.75,25.13,25.48
25.67,25.88,25.45,25.55
25.49,25.61,25.34,25.45
25.47,25.88,25.45,25.75
25.62,25.72,25.3,25.36
25.42,25.82,25.33,25.54
25.85,26.26,25.26,25.61
25.64,26.92,25.52,26.85
26.7,27.87,26.66,27.74
27.7,28.04,27.43,27.92
28,28.05,27.41,27.58
27.48,28.92,27.44,28.7
28.76,29.37,28.7,29.2
28.98,29.5,28.49,29.45
29.88,29.88,28.79,29.29
29.4,29.4,28.81,29.05
28.92,28.99,27.82,28.12
27.93,28.34,27.55,27.64
27.85,27.9,27.18,27.42
27.42,27.54,26.88,26.96
28.34,29.2,28.22,28.94
28.68,29.05,28.13,28.21
28.32,28.52,27.96,28.04
28.05,28.21,27.73,27.87
27.87,28.39,27.61,28.04
28.04,28.48,27.82,28.31
28.68,28.71,28.15,28.35
28.57,28.92,28.45,28.77
28.67,28.8,28.36,28.56
28.61,29.56,28.6,29.35
29.35,30.15,29.12,29.89
29.75,30.24,29.73,30.08
30.07,30.16,29.51,29.74
29.29,29.77,29.05,29.17
29.37,29.68,29.26,29.56
29.69,30.86,29.64,30.66
30.82,31.65,30.69,31.25
31,32,31,31.91
31.8,32.21,31.39,32.01
31.74,31.77,31.22,31.65
31.6,32.08,31.32,31.6
31.6,32.18,31.41,32.1
32.8,32.84,30.85,32.12
31.38,31.64,30.24,30.95
30.86,31.47,30.09,30.86
30.13,31.23,30,30.86
30.54,30.89,30.28,30.42
